127.0.0.1 - - [09/Apr/2020:15:20:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/demo.css HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chartist/plugin/chartist-plugin-tooltip.min.js HTTP/1.1" 200 7159
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chartist/chartist.min.js HTTP/1.1" 200 40214
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-mapael/jquery.mapael.min.js HTTP/1.1" 200 125090
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-mapael/maps/world_countries.min.js HTTP/1.1" 200 125619
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 200 95102
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/ready.min.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chart-circle/circles.min.js HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/popper.min.js HTTP/1.1" 200 18994
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 200 12248
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:53 +0530] "POST /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:55 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:55 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:55 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/ready.css HTTP/1.1" 200 113422
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:55 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/demo.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:22:57 +0530] "POST /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:22:57 +0530] "GET /SecurePrivateCloudNew/theme/assets/img/profile.png HTTP/1.1" 200 52773
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:22:57 +0530] "GET /SecurePrivateCloudNew/pages/dashboard.jsp HTTP/1.1" 200 21753
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:22:58 +0530] "GET /SecurePrivateCloudNew/theme/assets/fonts/line-awesome.woff2?v=1.1. HTTP/1.1" 200 45108
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:22:58 +0530] "GET /SecurePrivateCloudNew/theme/assets/img/menu2.png HTTP/1.1" 200 3448
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:24 +0530] "GET /SecurePrivateCloudNew/pages/transferofowner.jsp HTTP/1.1" 200 35462
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:24 +0530] "GET /SecurePrivateCloudNew/pages/draftdocument.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:25 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber2.js HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:25 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber3.js HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:27 +0530] "GET /SecurePrivateCloudNew/pages/dashboard.jsp HTTP/1.1" 200 21753
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:30 +0530] "GET /SecurePrivateCloudNew/pages/propertyverification.jsp HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:30 +0530] "GET /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=viewShareFile2&sid=60 HTTP/1.1" 500 2504
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:40 +0530] "GET /SecurePrivateCloudNew/pages/propertytransferverif.jsp HTTP/1.1" 200 15768
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:43 +0530] "GET /SecurePrivateCloudNew/pages/dashboard.jsp HTTP/1.1" 200 21753
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:45 +0530] "GET /SecurePrivateCloudNew/pages/transferofowner.jsp HTTP/1.1" 200 35462
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:48 +0530] "GET /SecurePrivateCloudNew/pages/propertyverification.jsp HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:48 +0530] "GET /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=viewShareFile2&sid=60 HTTP/1.1" 500 2504
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:15 +0530] "GET /SecurePrivateCloudNew/pages/propertytransferverif.jsp HTTP/1.1" 200 15768
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:17 +0530] "GET /SecurePrivateCloudNew/pages/propertyverification.jsp HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:20 +0530] "GET /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=viewShareFile2&sid=60 HTTP/1.1" 500 2504
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:27 +0530] "GET /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=logout HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:27 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:38 +0530] "POST /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:38 +0530] "GET /SecurePrivateCloudNew/pages/dashboard.jsp HTTP/1.1" 200 20958
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:40 +0530] "GET /SecurePrivateCloudNew/pages/draftdocument.jsp HTTP/1.1" 200 23510
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:47 +0530] "GET /SecurePrivateCloudNew/pages/dashboard.jsp HTTP/1.1" 200 20958
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:49 +0530] "GET /SecurePrivateCloudNew/pages/propertyverification.jsp HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:24:49 +0530] "GET /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=viewShareFile2&sid=60 HTTP/1.1" 500 2504
