127.0.0.1 - - [14/Jul/2022:11:44:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Jul/2022:11:44:53 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5349
127.0.0.1 - - [14/Jul/2022:11:45:01 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5349
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5349
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chartist/plugin/chartist-plugin-tooltip.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/popper.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-mapael/jquery.mapael.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-mapael/maps/world_countries.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chartist/chartist.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/ready.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chart-circle/circles.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:45:51 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Jul/2022:11:46:00 +0530] "POST /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 3
127.0.0.1 - - [14/Jul/2022:11:46:00 +0530] "GET /SecurePrivateCloudNew/theme/assets/img/profile.png HTTP/1.1" 200 52773
127.0.0.1 - - [14/Jul/2022:11:46:00 +0530] "GET /SecurePrivateCloudNew/pages/dashboard.jsp HTTP/1.1" 200 20701
127.0.0.1 - - [14/Jul/2022:11:46:01 +0530] "GET /SecurePrivateCloudNew/theme/assets/img/menu2.png HTTP/1.1" 200 3448
127.0.0.1 - - [14/Jul/2022:11:46:01 +0530] "GET /SecurePrivateCloudNew/theme/assets/fonts/line-awesome.woff2?v=1.1. HTTP/1.1" 200 45108
127.0.0.1 - - [14/Jul/2022:12:17:39 +0530] "GET /SecurePrivateCloudNew/pages/dashboard.jsp HTTP/1.1" 500 4710
127.0.0.1 - - [14/Jul/2022:12:17:46 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5378
127.0.0.1 - - [14/Jul/2022:12:18:06 +0530] "POST /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 3
127.0.0.1 - - [14/Jul/2022:12:18:07 +0530] "GET /SecurePrivateCloudNew/pages/dashboard.jsp HTTP/1.1" 200 20759
127.0.0.1 - - [14/Jul/2022:12:22:35 +0530] "GET /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=logout HTTP/1.1" 200 88
127.0.0.1 - - [14/Jul/2022:12:22:35 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5378
127.0.0.1 - - [14/Jul/2022:12:22:38 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5378
