what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1522731409715
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1522731412539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1522731413428
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522731415066
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522731415643
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522731421790
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1522731421899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731466156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731470322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731476172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731476858
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1522731476889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731477560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731478184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731478902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731479962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731482037
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731482458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1522731482474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731483379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731484814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731492162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731494221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1522731494236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731496124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731498230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731503456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731503815
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1522731503830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731504252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731506280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731510226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731510663
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1522731510663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731511833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731512707
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731513924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731514657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731522051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731522348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1522731522363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731524563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731524968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731527308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731529711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522731531676
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522731534718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522731538681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522731539118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522731539414
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522731539710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522731539960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522731540256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522731541489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522732961052
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522732962830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522732965591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522732965950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522732966418
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522732966714
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522732966746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522732967385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522732973173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522732974936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522732975466
error,log,,,"Internal Error",1522732980411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733005387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733358131
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522733359676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733361376
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522733361517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522733361610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733363045
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733363389
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733363420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733364106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733370409
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522733372156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522733372561
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733378318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733391533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522733395667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733396151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733430256
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522733431598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522733432222
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733433470
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522733439741
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1522733440334
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1522733441363
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1522733441535
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1522733441707
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1522733441894
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1522733442206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522733458087
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1522733458570
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1522733459054
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733460099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733469475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733472610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733473500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522733474139
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1522733475496
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1522733475543
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1522733475543
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1522733476214
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1522733476276
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1522733476292
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522733477556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522733481253
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522733481596
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522733481814
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733482314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733483421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733564456
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522733565532
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733570477
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522733571304
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733574830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733575204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733580461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522733581397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522733581881
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1522733583956
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522733584939
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733588995
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522733592130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733593784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733594174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1522733594174
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733594174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733595157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733595812
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733596748
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522733608354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733609134
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733609509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733609524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1522733609540
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733610133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733610538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733611147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733611724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733989324
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522733991461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733994472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522733994674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733995595
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733995938
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522733995969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733996484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733997529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522733997716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522734004643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522734006172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522734006671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1522734012739
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522734013394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522734021772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522734022349
error,log,,,"Internal Error",1522734023379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522734096964
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522734097791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522734098259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522734106839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522734107166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1522734107166
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522734107697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522734109023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522734132189
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522734133031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522734133546
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522734137415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522734140004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522734141346
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522734165027
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522734165963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522734167133
