what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034220529
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1524034222239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1524034228238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1524034231582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034232633
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1524034232667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034233561
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034237054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1524034237077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034237879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034243825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1524034243844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034247493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1524034249462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1524034249967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034250975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034251676
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1524034251706
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1524034251736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034252200
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1524034252226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1524034252358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524034253019
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524034255239
