what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261135673
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1523261137171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261139152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261139901
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1523261139932
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1523261139947
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1523261139994
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1523261141414
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1523261143239
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1523261143239
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1523261145814
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1523261145861
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1523261146095
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1523261146126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1523261147838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261148540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261157345
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1523261159124
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523261162042
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523261162073
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1523261165583
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523261165708
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1523261166613
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523261168048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261169187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261173835
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1523261173867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261174600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261176300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261176862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261182649
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1523261183391
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1523261183957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261184488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523261208311
