what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064424369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064424839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064426362
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064471804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064474744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064511713
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524064511774
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1524064512878
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524064513250
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524064526530
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524064529770
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524064586243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064588486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064593437
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1524064594089
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1524064594205
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1524064594397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064606717
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1524064606784
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1524064608681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1524064609005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064609792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064610518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064615448
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1524064615996
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1524064616032
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1524064616054
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064616886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1524064616957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1524064617031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064618373
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1524064621016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1524064621097
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1524064630928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.forwardHistory",1524064630994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064633997
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1524064634066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064635390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1524064681770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064682658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064683487
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1524064683976
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1524064684027
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1524064684087
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1524064685250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1524064686284
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1524064688624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064689552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1524064689652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1524064689862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064691266
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524064750069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064767522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064768362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064768743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064772369
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064772660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524064773190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1524064788748
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1524064789145
error,log,,,"Internal Error",1524064830139
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524064984964
