what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762174962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762177146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762177567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762200867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762203004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762400540
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522762403878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522762404520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522762415924
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1522762418466
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522762422585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762427093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762427733
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522762428248
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1522762429792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762431336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762574255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762579606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522762590542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1522762608077
