what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523550080930
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1523550081695
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523550082714
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523550087045
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523550088757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523550090194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523550092777
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1523550094958
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1523550096346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523550096776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523550096907
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1523550096910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523550102729
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523550103139
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1523550103147
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1523550105191
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1523550107190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523550107603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523550119566
